Type	Type1	Type2	Fresh_fluor	Froz_fluor	Species	Common_name
Muc_total	Mucosome	Total_spores	20882	20465	Eurycea wilderae	Blue ridge two lined salamander
Muc_total	Mucosome	Total_spores	21386	20959	Eurycea wilderae	Blue ridge two lined salamander
Muc_total	Mucosome	Total_spores	20686	20273	Eurycea wilderae	Blue ridge two lined salamander
Muc_total	Mucosome	Total_spores	20510	20100	Eurycea wilderae	Blue ridge two lined salamander
Muc_total	Mucosome	Total_spores	22371	21924	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	21177	21389	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	22983	23213	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	22683	22910	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	20991	20782	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	20785	20578	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	22338	22115	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	20363	20160	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	20702	20495	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	21958	21519	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	20784	20369	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	20929	20511	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	22123	21681	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	21600	21168	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	21139	20717	Eurycea wilderae	Blue ridge two lined salamander
Muc_viable	Mucosome	Viable_spores	22592	22141	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	21787	22005	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	21816	22035	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	23556	23792	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	20256	20054	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	20963	20754	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	22130	21909	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	21056	20846	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	20926	20717	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	23450	22981	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	21149	20727	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	21549	21119	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	23196	22733	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	20940	20522	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	20933	20515	Eurycea wilderae	Blue ridge two lined salamander
Swab_total	Swab	Total_spores	22260	21815	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	23515.2	23751	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	22162.35	22384	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	25611.65	25868	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	21234.15	21022	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	21549.15	21334	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	22661.1	22435	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	22939.05	22710	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	21287.7	21075	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	25070	24569	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	23149.5	22687	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	22094.95	21654	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	24956.15	24458	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	20964.3	20546	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	21015.75	20596	Eurycea wilderae	Blue ridge two lined salamander
Swab_viable	Swab	Viable_spores	23150.4	22688	Eurycea wilderae	Blue ridge two lined salamander
Muc_total	Mucosome	Total_spores	21443	22750	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	21816	23146	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	21735	23060	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	22184	23536	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	23573	25010	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	22489	23859	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	20776	22042	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	40553	43024	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	23610	25049	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	20665	21924	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	20494	21743	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	20497	21746	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	20099	21324	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	20336	21576	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	20152	21380	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	22631	23310	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	22496	23171	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	22592	23270	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	23229	23926	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	23646	24356	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	22580	23258	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	21252	21890	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	41849	43105	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	23721	24433	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	20715	21337	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	20510	21126	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	20554	21171	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	20779	21403	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	20447	21061	Notophthalmus viridescens	Eastern newt
Muc_viable	Mucosome	Viable_spores	20211	20818	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	21849	22505	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	22156	22821	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	23236	23934	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	24063	24785	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	24472	25207	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	23930	24648	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	22439	23113	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	22101	22765	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	21692	22343	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	21865	22521	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	20755	21378	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	20408	21021	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	20557	21174	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	20058	20660	Notophthalmus viridescens	Eastern newt
Swab_total	Swab	Total_spores	20499	21114	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	23148.3	22750	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	22791.3	23146	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	24538.7	23060	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	25293	23536	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	24621	25010	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	24163	23859	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	23790.05	22042	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	23364.55	23024	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	21786.45	25049	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	23267.95	21924	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	21598.5	21743	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	21331.8	21746	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	21039.9	21324	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	20591.55	21576	Notophthalmus viridescens	Eastern newt
Swab_viable	Swab	Viable_spores	21905.1	21380	Notophthalmus viridescens	Eastern newt
Muc_total	Mucosome	Total_spores	21054	21266	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	22858	22078	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	22160	22383	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	21186	21400	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	21246	21460	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	21978	22199	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	21890	21101	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	20736	20945	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	20935	21146	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	21068	21280	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	21110	21323	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	21305	21520	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	21318	21533	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	21697	21916	Bombina orientalis	Fire bellied toad
Muc_total	Mucosome	Total_spores	22822	22374	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	21381	21961	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	21006	21574	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	22760	22313	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	21035	21602	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	22150	21715	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	22330	22872	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	22139	22685	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	22658	22213	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	23067	23595	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	23298	22841	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	22875	22426	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	22944	22494	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	21126	21692	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	21874	21445	Bombina orientalis	Fire bellied toad
Muc_viable	Mucosome	Viable_spores	23080	23607	Bombina orientalis	Fire bellied toad
Swab_total	Swab	Total_spores	22283	21846	Bombina orientalis	Fire bellied toad
Swab_total	Swab	Total_spores	22109	21675	Bombina orientalis	Fire bellied toad
Swab_total	Swab	Total_spores	23820	23352	Bombina orientalis	Fire bellied toad
Swab_total	Swab	Total_spores	21453	21032	Bombina orientalis	Fire bellied toad
Swab_total	Swab	Total_spores	22112	21678	Bombina orientalis	Fire bellied toad
Swab_total	Swab	Total_spores	22601	22157	Bombina orientalis	Fire bellied toad
Swab_total	Swab	Total_spores	21611	21187	Bombina orientalis	Fire bellied toad
Swab_total	Swab	Total_spores	21767	21340	Bombina orientalis	Fire bellied toad
Swab_total	Swab	Total_spores	21843	21414	Bombina orientalis	Fire bellied toad
Swab_total	Swab	Total_spores	21984	21552	Bombina orientalis	Fire bellied toad
Swab_total	Swab	Total_spores	21765	21338	Bombina orientalis	Fire bellied toad
