Type	Type1	Type2	Total_fluor	Species	Common_name	Viable_fluor	Per_viable
Muc_total	Mucosome	Total_spores	20776	Notophthalmus viridescens	Eastern newt	21252	98
Muc_total	Mucosome	Total_spores	40553	Notophthalmus viridescens	Eastern newt	41849	97
Muc_total	Mucosome	Total_spores	23610	Notophthalmus viridescens	Eastern newt	23721	100
Muc_total	Mucosome	Total_spores	20665	Notophthalmus viridescens	Eastern newt	20715	100
Muc_total	Mucosome	Total_spores	20494	Notophthalmus viridescens	Eastern newt	20510	100
Muc_total	Mucosome	Total_spores	20497	Notophthalmus viridescens	Eastern newt	20554	100
Muc_total	Mucosome	Total_spores	20099	Notophthalmus viridescens	Eastern newt	20779	97
Muc_total	Mucosome	Total_spores	20336	Notophthalmus viridescens	Eastern newt	20447	100
Muc_total	Mucosome	Total_spores	20152	Notophthalmus viridescens	Eastern newt	20211	100
Swab_total	Swab	Total_spores	21849	Notophthalmus viridescens	Eastern newt	23148.3	95
Swab_total	Swab	Total_spores	22156	Notophthalmus viridescens	Eastern newt	22791.3	98
Swab_total	Swab	Total_spores	23236	Notophthalmus viridescens	Eastern newt	24538.7	95
Swab_total	Swab	Total_spores	24063	Notophthalmus viridescens	Eastern newt	25293	96
Swab_total	Swab	Total_spores	24472	Notophthalmus viridescens	Eastern newt	24621	100
Swab_total	Swab	Total_spores	23930	Notophthalmus viridescens	Eastern newt	24163	100
Swab_total	Swab	Total_spores	22439	Notophthalmus viridescens	Eastern newt	23790.05	95
Swab_total	Swab	Total_spores	22101	Notophthalmus viridescens	Eastern newt	23364.55	95
Swab_total	Swab	Total_spores	21692	Notophthalmus viridescens	Eastern newt	21786.45	100
Swab_total	Swab	Total_spores	21865	Notophthalmus viridescens	Eastern newt	23267.95	94
Swab_total	Swab	Total_spores	20755	Notophthalmus viridescens	Eastern newt	21598.5	97
Swab_total	Swab	Total_spores	20408	Notophthalmus viridescens	Eastern newt	21331.8	96
Swab_total	Swab	Total_spores	20557	Notophthalmus viridescens	Eastern newt	21039.9	98
Swab_total	Swab	Total_spores	20058	Notophthalmus viridescens	Eastern newt	20591.55	98
Swab_total	Swab	Total_spores	20499	Notophthalmus viridescens	Eastern newt	21905.1	94
Muc_total	Mucosome	Total_spores	21054	Bombina orientalis	Fire bellied toad	21381	99
Muc_total	Mucosome	Total_spores	22858	Bombina orientalis	Fire bellied toad	21006	99
Muc_total	Mucosome	Total_spores	22160	Bombina orientalis	Fire bellied toad	22760	98
Muc_total	Mucosome	Total_spores	21186	Bombina orientalis	Fire bellied toad	21035	100
Muc_total	Mucosome	Total_spores	21246	Bombina orientalis	Fire bellied toad	22150	96
Muc_total	Mucosome	Total_spores	21978	Bombina orientalis	Fire bellied toad	22330	99
Muc_total	Mucosome	Total_spores	21890	Bombina orientalis	Fire bellied toad	22139	99
Muc_total	Mucosome	Total_spores	20736	Bombina orientalis	Fire bellied toad	22658	92
Muc_total	Mucosome	Total_spores	20935	Bombina orientalis	Fire bellied toad	23067	91
Muc_total	Mucosome	Total_spores	21068	Bombina orientalis	Fire bellied toad	23298	91
Muc_total	Mucosome	Total_spores	21110	Bombina orientalis	Fire bellied toad	22875	93
Muc_total	Mucosome	Total_spores	21305	Bombina orientalis	Fire bellied toad	22944	93
Muc_total	Mucosome	Total_spores	21318	Bombina orientalis	Fire bellied toad	21126	100
Muc_total	Mucosome	Total_spores	21697	Bombina orientalis	Fire bellied toad	21874	100
Muc_total	Mucosome	Total_spores	22822	Bombina orientalis	Fire bellied toad	23080	99
Swab_total	Swab	Total_spores	22283	Bombina orientalis	Fire bellied toad	21692	100
Swab_total	Swab	Total_spores	22109	Bombina orientalis	Fire bellied toad	22520	99
Swab_total	Swab	Total_spores	23820	Bombina orientalis	Fire bellied toad	22831	100
Swab_total	Swab	Total_spores	21453	Bombina orientalis	Fire bellied toad	21828	99
Swab_total	Swab	Total_spores	22112	Bombina orientalis	Fire bellied toad	21890	100
Swab_total	Swab	Total_spores	22601	Bombina orientalis	Fire bellied toad	22643	100
Swab_total	Swab	Total_spores	21611	Bombina orientalis	Fire bellied toad	21524	100
Swab_total	Swab	Total_spores	21767	Bombina orientalis	Fire bellied toad	21364	100
Swab_total	Swab	Total_spores	21843	Bombina orientalis	Fire bellied toad	21569	100
Swab_total	Swab	Total_spores	21984	Bombina orientalis	Fire bellied toad	21706	100
Swab_total	Swab	Total_spores	21765	Bombina orientalis	Fire bellied toad	21750	100
Swab_total	Swab	Total_spores	21143	Bombina orientalis	Fire bellied toad	21951	97
Swab_total	Swab	Total_spores	22022	Bombina orientalis	Fire bellied toad	21964	100
