Type	Type1	Type2	Fresh_fluor
Muc_viable	Mucosome	Viable_spores	20779
Muc_viable	Mucosome	Viable_spores	20447
Muc_viable	Mucosome	Viable_spores	20211
Swab_total	Swab	Total_spores	21849
Swab_total	Swab	Total_spores	22156
Swab_total	Swab	Total_spores	23236
Swab_total	Swab	Total_spores	24063
Swab_total	Swab	Total_spores	24472
Swab_total	Swab	Total_spores	23930
Swab_total	Swab	Total_spores	22439
Swab_total	Swab	Total_spores	22101
Swab_total	Swab	Total_spores	21692
Swab_total	Swab	Total_spores	21865
Swab_total	Swab	Total_spores	20755
Swab_total	Swab	Total_spores	20408
Swab_total	Swab	Total_spores	20557
Swab_total	Swab	Total_spores	20058
Swab_total	Swab	Total_spores	20499
Swab_viable	Swab	Viable_spores	23148.3
Swab_viable	Swab	Viable_spores	22791.3
Swab_viable	Swab	Viable_spores	24538.7
Swab_viable	Swab	Viable_spores	25293
Swab_viable	Swab	Viable_spores	24621
Swab_viable	Swab	Viable_spores	24163
Swab_viable	Swab	Viable_spores	23790.05
Swab_viable	Swab	Viable_spores	23364.55
Swab_viable	Swab	Viable_spores	21786.45
Swab_viable	Swab	Viable_spores	23267.95
Swab_viable	Swab	Viable_spores	21598.5
Swab_viable	Swab	Viable_spores	21331.8
Swab_viable	Swab	Viable_spores	21039.9
Swab_viable	Swab	Viable_spores	20591.55
Swab_viable	Swab	Viable_spores	21905.1
Muc_total	Mucosome	Total_spores	21054
Muc_total	Mucosome	Total_spores	22858
Muc_total	Mucosome	Total_spores	22160
Muc_total	Mucosome	Total_spores	21186
Muc_total	Mucosome	Total_spores	21246
Muc_total	Mucosome	Total_spores	21978
Muc_total	Mucosome	Total_spores	21890
Muc_total	Mucosome	Total_spores	20736
Muc_total	Mucosome	Total_spores	20935
Muc_total	Mucosome	Total_spores	21068
Muc_total	Mucosome	Total_spores	21110
Muc_total	Mucosome	Total_spores	21305
Muc_total	Mucosome	Total_spores	21318
Muc_total	Mucosome	Total_spores	21697
Muc_total	Mucosome	Total_spores	22822
Muc_viable	Mucosome	Viable_spores	21381
Muc_viable	Mucosome	Viable_spores	21006
Muc_viable	Mucosome	Viable_spores	22760
Muc_viable	Mucosome	Viable_spores	21035
Muc_viable	Mucosome	Viable_spores	22150
Muc_viable	Mucosome	Viable_spores	22330
Muc_viable	Mucosome	Viable_spores	22139
Muc_viable	Mucosome	Viable_spores	22658
Muc_viable	Mucosome	Viable_spores	23067
Muc_viable	Mucosome	Viable_spores	23298
Muc_viable	Mucosome	Viable_spores	22875
Muc_viable	Mucosome	Viable_spores	22944
Muc_viable	Mucosome	Viable_spores	21126
Muc_viable	Mucosome	Viable_spores	21874
Muc_viable	Mucosome	Viable_spores	23080
Swab_total	Swab	Total_spores	22283
Swab_total	Swab	Total_spores	22109
Swab_total	Swab	Total_spores	23820
Swab_total	Swab	Total_spores	21453
Swab_total	Swab	Total_spores	22112
Swab_total	Swab	Total_spores	22601
Swab_total	Swab	Total_spores	21611
Swab_total	Swab	Total_spores	21767
Swab_total	Swab	Total_spores	21843
Swab_total	Swab	Total_spores	21984
Swab_total	Swab	Total_spores	21765
Swab_total	Swab	Total_spores	21143
Swab_total	Swab	Total_spores	22022
Swab_total	Swab	Total_spores	21873
Swab_total	Swab	Total_spores	22942
Swab_viable	Swab	Viable_spores	21692
Swab_viable	Swab	Viable_spores	22520
Swab_viable	Swab	Viable_spores	22831
Swab_viable	Swab	Viable_spores	21828
Swab_viable	Swab	Viable_spores	21890
Swab_viable	Swab	Viable_spores	22643
Swab_viable	Swab	Viable_spores	21524
Swab_viable	Swab	Viable_spores	21364
Swab_viable	Swab	Viable_spores	21569
Swab_viable	Swab	Viable_spores	21706
Swab_viable	Swab	Viable_spores	21750
Swab_viable	Swab	Viable_spores	21951
Swab_viable	Swab	Viable_spores	21964
Swab_viable	Swab	Viable_spores	22355
Swab_viable	Swab	Viable_spores	22822
Muc_total	Mucosome	Total_spores	0
Muc_total	Mucosome	Total_spores	0
Muc_total	Mucosome	Total_spores	0
Muc_total	Mucosome	Total_spores	0
Muc_total	Mucosome	Total_spores	0
Muc_total	Mucosome	Total_spores	0
Muc_total	Mucosome	Total_spores	0
Muc_total	Mucosome	Total_spores	0
Muc_total	Mucosome	Total_spores	0
Muc_total	Mucosome	Total_spores	0
Muc_total	Mucosome	Total_spores	19045
Muc_total	Mucosome	Total_spores	18711
Muc_total	Mucosome	Total_spores	21392
Muc_total	Mucosome	Total_spores	20193
Muc_total	Mucosome	Total_spores	20222
Muc_viable	Mucosome	Viable_spores	34374
Muc_viable	Mucosome	Viable_spores	32363
Muc_viable	Mucosome	Viable_spores	32779
Muc_viable	Mucosome	Viable_spores	21715
Muc_viable	Mucosome	Viable_spores	20871
Muc_viable	Mucosome	Viable_spores	20598
Muc_viable	Mucosome	Viable_spores	37912
Muc_viable	Mucosome	Viable_spores	34752
Muc_viable	Mucosome	Viable_spores	34961
Muc_viable	Mucosome	Viable_spores	21478
Muc_viable	Mucosome	Viable_spores	20926
Muc_viable	Mucosome	Viable_spores	19450
Muc_viable	Mucosome	Viable_spores	22877
Muc_viable	Mucosome	Viable_spores	23354
Muc_viable	Mucosome	Viable_spores	21492
Swab_total	Swab	Total_spores	24652
Swab_total	Swab	Total_spores	23350
Swab_total	Swab	Total_spores	25138
Swab_total	Swab	Total_spores	21840
Swab_total	Swab	Total_spores	21158
Swab_total	Swab	Total_spores	20799
Swab_total	Swab	Total_spores	22256
Swab_total	Swab	Total_spores	20957
Swab_total	Swab	Total_spores	22746
Swab_total	Swab	Total_spores	22310
Swab_total	Swab	Total_spores	20446
Swab_total	Swab	Total_spores	21129
Swab_total	Swab	Total_spores	22250
Swab_total	Swab	Total_spores	21414
Swab_total	Swab	Total_spores	20872
Swab_viable	Swab	Viable_spores	24771
Swab_viable	Swab	Viable_spores	23840
Swab_viable	Swab	Viable_spores	25148
Swab_viable	Swab	Viable_spores	23201.85
Swab_viable	Swab	Viable_spores	21966
Swab_viable	Swab	Viable_spores	21402.15
Swab_viable	Swab	Viable_spores	23245.95
Swab_viable	Swab	Viable_spores	22387.05
Swab_viable	Swab	Viable_spores	24022.35
Swab_viable	Swab	Viable_spores	22656.9
Swab_viable	Swab	Viable_spores	21648.9
Swab_viable	Swab	Viable_spores	22913.75
Swab_viable	Swab	Viable_spores	22886.85
Swab_viable	Swab	Viable_spores	22222.2
Swab_viable	Swab	Viable_spores	21174.3
Muc_total	Mucosome	Total_spores	21791
Muc_total	Mucosome	Total_spores	20107
Muc_total	Mucosome	Total_spores	20388
Muc_total	Mucosome	Total_spores	21461
Muc_total	Mucosome	Total_spores	19861
Muc_total	Mucosome	Total_spores	20508
Muc_total	Mucosome	Total_spores	34062
Muc_total	Mucosome	Total_spores	32405
Muc_total	Mucosome	Total_spores	32028
Muc_total	Mucosome	Total_spores	30400
Muc_total	Mucosome	Total_spores	31534
Muc_total	Mucosome	Total_spores	32017
Muc_total	Mucosome	Total_spores	24442
Muc_total	Mucosome	Total_spores	25026
Muc_total	Mucosome	Total_spores	25320
Muc_viable	Mucosome	Viable_spores	22806
Muc_viable	Mucosome	Viable_spores	21346
Muc_viable	Mucosome	Viable_spores	21280
Muc_viable	Mucosome	Viable_spores	23171
Muc_viable	Mucosome	Viable_spores	21902
Muc_viable	Mucosome	Viable_spores	22256
Muc_viable	Mucosome	Viable_spores	38879
Muc_viable	Mucosome	Viable_spores	38213
Muc_viable	Mucosome	Viable_spores	38203
Muc_viable	Mucosome	Viable_spores	33635
Muc_viable	Mucosome	Viable_spores	34763
Muc_viable	Mucosome	Viable_spores	34845
Muc_viable	Mucosome	Viable_spores	27486
Muc_viable	Mucosome	Viable_spores	29056
Muc_viable	Mucosome	Viable_spores	28943
Swab_total	Swab	Total_spores	22488
Swab_total	Swab	Total_spores	20586
Swab_total	Swab	Total_spores	21352
Swab_total	Swab	Total_spores	22156
Swab_total	Swab	Total_spores	21602
Swab_total	Swab	Total_spores	21490
Swab_total	Swab	Total_spores	23562
Swab_total	Swab	Total_spores	23000
Swab_total	Swab	Total_spores	23607
Swab_total	Swab	Total_spores	22585
Swab_total	Swab	Total_spores	22875
Swab_total	Swab	Total_spores	23466
Swab_total	Swab	Total_spores	20159
Swab_total	Swab	Total_spores	20876
Swab_total	Swab	Total_spores	22797
Swab_viable	Swab	Viable_spores	23199.75
Swab_viable	Swab	Viable_spores	21476.7
Swab_viable	Swab	Viable_spores	23204.7
Swab_viable	Swab	Viable_spores	23312.1
Swab_viable	Swab	Viable_spores	23393.3
Swab_viable	Swab	Viable_spores	21720.3
Swab_viable	Swab	Viable_spores	24406.2
Swab_viable	Swab	Viable_spores	23639.7
Swab_viable	Swab	Viable_spores	25484
Swab_viable	Swab	Viable_spores	23222
Swab_viable	Swab	Viable_spores	23393
Swab_viable	Swab	Viable_spores	23471
Swab_viable	Swab	Viable_spores	21703.5
Swab_viable	Swab	Viable_spores	21665.7
Swab_viable	Swab	Viable_spores	24237.4
